"","itemset","item1","item2","item3","item4","item5","item6","item7","item8","item9","item10","item11","item12"
"1",1,"baking powder","coffee","frozen meals","butter",NA,NA,NA,NA,NA,NA,NA,NA
"2",2,"ice cream","abrasive cleaner","fish","coffee","frozen meals",NA,NA,NA,NA,NA,NA,NA
"3",3,"butter","baking powder","coffee","ice cream","frozen meals",NA,NA,NA,NA,NA,NA,NA
"4",4,"frozen vegetables","abrasive cleaner","ice cream","butter","coffee",NA,NA,NA,NA,NA,NA,NA
"5",5,"baking powder","ice cream","butter","frozen meals",NA,NA,NA,NA,NA,NA,NA,NA
"6",6,"ice cream","frozen vegetables","coffee","cake bar","frozen meals",NA,NA,NA,NA,NA,NA,NA
"7",7,"honey","fish","abrasive cleaner","domestic eggs",NA,NA,NA,NA,NA,NA,NA,NA
"8",8,"butter","frozen meals","fish","ice cream","frozen vegetables",NA,NA,NA,NA,NA,NA,NA
"9",9,"coffee","honey","fish","frozen meals",NA,NA,NA,NA,NA,NA,NA,NA
"10",10,"honey","frozen meals","fish",NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",11,"abrasive cleaner","frozen vegetables","baking powder","butter","domestic eggs",NA,NA,NA,NA,NA,NA,NA
"12",12,"frozen meals","domestic eggs","ice cream",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",13,"ice cream","cake bar","honey",NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",14,"baking powder","domestic eggs","butter","frozen meals",NA,NA,NA,NA,NA,NA,NA,NA
"15",15,"coffee","butter","baking powder","domestic eggs","frozen meals",NA,NA,NA,NA,NA,NA,NA
"16",16,"frozen vegetables","frozen meals","fish",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",17,"butter","fish","frozen meals","baking powder","ice cream",NA,NA,NA,NA,NA,NA,NA
"18",18,"butter","baking powder","frozen meals","frozen vegetables",NA,NA,NA,NA,NA,NA,NA,NA
"19",19,"baking powder","domestic eggs","butter",NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",20,"fish","frozen vegetables","frozen meals","baking powder","butter",NA,NA,NA,NA,NA,NA,NA
"21",21,"butter","baking powder","domestic eggs",NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",22,"butter","coffee","baking powder","frozen meals",NA,NA,NA,NA,NA,NA,NA,NA
"23",23,"butter","coffee","domestic eggs","baking powder","frozen meals",NA,NA,NA,NA,NA,NA,NA
"24",24,"fish","frozen meals","abrasive cleaner",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",25,"baking powder","cake bar","butter","frozen vegetables",NA,NA,NA,NA,NA,NA,NA,NA
"26",26,"domestic eggs","honey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",27,"frozen meals","fish","domestic eggs",NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",28,"baking powder","frozen meals","domestic eggs","butter",NA,NA,NA,NA,NA,NA,NA,NA
"29",29,"fish","frozen meals","domestic eggs","coffee",NA,NA,NA,NA,NA,NA,NA,NA
"30",30,"butter","baking powder","domestic eggs",NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",31,"frozen meals","frozen vegetables","baking powder","butter",NA,NA,NA,NA,NA,NA,NA,NA
"32",32,"coffee","baking powder","butter","ice cream","frozen meals",NA,NA,NA,NA,NA,NA,NA
"33",33,"fish","butter","baking powder",NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",34,"frozen vegetables",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",35,"frozen vegetables","abrasive cleaner","ice cream",NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",36,"fish","coffee","frozen meals","ice cream","honey",NA,NA,NA,NA,NA,NA,NA
"37",37,"coffee","butter","baking powder","domestic eggs","frozen meals",NA,NA,NA,NA,NA,NA,NA
"38",38,"honey","frozen meals","ice cream","coffee",NA,NA,NA,NA,NA,NA,NA,NA
